player,height,improvement,points
A.J. VAN BRUGGEN ,198,0,0.663951226
AARON BADER ,183,-0.063279558,1.061497103
AARON BOOGAARD ,191,0.005787471,0.315834889
AARON BOYD ,190,0.016709846,0.380612381
AARON FOSTER ,194,0.023281209,1.201119925
AARON GAGNON ,178,0.076776836,1.314138772
AARON GOLDADE ,185,0.014427044,1.149307232
AARON HAREUTHER ,178,0,0.065184081
AARON LEWADNIUK ,183,0.597078245,1.298658233
AARON MACKLIN ,188,0.005507536,0.236942801
AARON MCGILL ,188,0,0.065184081
AARON MILLAR ,175,0.020607322,1.052858597
AARON RICHARDS ,185,-0.045014496,0.912268946
AARON ROBERGE ,193,0.170460266,0.663752162
AARON SHRIEVES ,188,0,0
AARON STARR ,193,0,0.120983674
AARON WINTERHOLT ,185,0.199557134,0.384446035
ADAM BASFORD ,185,0,0.682479734
ADAM BERG ,185,0.101242509,0.655539624
ADAM BREITKREUZ ,182,-0.261122937,0.171897715
ADAM BROOKS ,180,0.561428583,1.270506321
ADAM CHORNEYKO ,183,0.236001082,0.599961378
ADAM COURCHAINE ,178,-0.025863108,1.546281832
ADAM CRACKNELL ,188,0.294392172,1.071530783
ADAM DE CHAMPLAIN ,185,-0.196671835,0.410099915
ADAM GERIC ,182,-0.085983832,0.091385386
ADAM HASCIC ,177,0,0.302459184
ADAM HELEWKA ,188,0.211348765,1.457855344
ADAM HOBSON ,186,0.142907878,0.97928465
ADAM HOULE ,180,0.041252937,0.305293937
ADAM HUGHESMAN ,181,-0.063282717,1.853305236
ADAM HUXLEY ,183,0.115265493,0.219752763
ADAM KAMBEITZ ,185,0.078761018,0.69327174
ADAM LOWRY ,195,-0.083454312,1.744375827
ADAM MATLOCK ,191,0,0.13741509
ADAM MUSIL ,191,-0.292247968,1.407553549
ADAM REHAK ,180,0,0.335146298
ADAM ROSSIGNOL ,183,-0.018274095,0.404430325
ADAM SMITH ,188,0,0
ADAM STEFISHEN ,182,0,0.484224602
ADAM TAMBELLINI ,188,0,1.68654266
ADAM TAYLOR ,186,0.098698548,0.85249104
ADRIAN FOSTER ,183,0,1.340585191
AJAY BAINES ,180,-0.203811329,1.383570979
AKI KANGASMÄKI ,190,0,0.32262313
AKI SEITSONEN ,188,-0.326139968,1.129823032
ALAN MANNESS ,183,0.045123442,1.140823706
ALBIN BLOMQVIST ,192,-0.004064852,0.131766477
ALEC BAER ,178,-0.038066639,1.010453154
ALESSIO BERTAGGIA ,174,0.220535638,1.434319466
ALEX ALDRED ,176,-0.020403288,0.811686021
ALEX ARGYRIOU ,178,0,0.940761538
ALEX ELLIOTT ,183,0,0.499115694
ALEX FORSBERG ,180,-0.269094993,1.605418973
ALEX LEAVITT ,178,-0.1144812,1.226700146
ALEX LENTOWICH ,183,0.14895391,0.292992448
ALEX MOWBRAY ,180,0.06873507,0.355719166
ALEX OVERHARDT ,183,0.175976654,0.485248151
ALEX POULTER ,186,-0.013031722,0.822964616
ALEX SCHOENBORN ,185,0.230490041,0.960275534
ALEXANDER CHIRVA ,186,0,0.250311049
ALEXANDER DELNOV ,185,-0.014010419,1.196538548
ALEXANDER GOGOLEV ,179,0.493926654,1.354403267
ALEXANDER KUVAYEV ,188,-0.353237744,0.824625325
ALEXANDER RODGERS ,175,-0.036033614,0.932512474
ALEXANDER SHELKUNOV ,185,0,0.518501459
ALEXANDER TRUE ,193,0.070248825,0.799231826
ALEXANDER VIKLUND ,182,-0.391544549,0.644392127
ALEXEI BUDAYEV ,188,-0.57778498,0.917634182
ALEXEI ZHURBA ,174,0,0.166874033
ANDERS LÖVDAHL ,191,0.121985311,0.491013011
ANDRE HERMAN ,182,0.089139935,0.384030325
ANDREAS EDER ,189,0,0.382053707
ANDREAS SCHUMACHER ,195,-0.175134713,0.355684395
ANDREAS STENE ,190,0,0.389988419
ANDREJ KUDRNA ,189,0.15942383,1.463302082
ANDREJ PODKONICKY ,184,-0.144734481,1.622418868
ANDREJ STASTNY ,191,0,1.256798617
ANDREW BAILEY ,183,0.015089522,1.199293925
ANDREW BERGEN ,181,0.01679413,0.826242533
ANDREW CLARK ,177,0.127875717,1.284294714
ANDREW COATS ,178,0,0.105873026
ANDREW DAVIDSON ,185,-0.044765615,0.50242531
ANDREW GUINDON ,188,0,0.308894486
ANDREW HERLE ,176,0.188280111,0.25058185
ANDREW JOHNSON ,175,-0.24994512,0.871467488
ANDREW KOEP ,175,-1.143595337,1.09694266
ANDREW LADD ,190,-1.382679648,1.864653284
ANDREW LUCIUK ,183,0.453986183,0.981786736
ANDREW RIEDER ,183,0.143755553,0.482503153
ANDREW SULLIVAN ,188,-0.119000335,0.059500167
ANDREW WASMUTH ,183,0.052398417,0.27543246
ANDY BLANKE ,188,0.050472999,0.222860336
ANDY BOSSENCE ,185,0,0.110529529
ANDY SMITH ,183,-0.239002655,0.822361019
ANTHONY AST ,175,-0.286197917,0.882025023
ANTHONY BARDARO ,173,0.201872291,1.054398472
ANTON BORODKIN ,180,-0.256661276,0.92631599
ANTONÍN HONEJSEK ,182,0.212199964,1.117912584
ANTTI-JUSSI MIETTINEN ,175,0,0.868897809
ARRON ASHAM ,180,0.072462654,2.113073114
ARTHUR MILLER ,175,0,0.130368162
ASHLEY WESLING ,191,0,0.234662692
ASHTON HEWSON ,196,0.033851546,0.421800005
ASHTON ROME ,186,0.12218184,1.126329426
ASPEN STERZER ,180,0.161839612,0.696347806
AUSTIN ADAMSON ,180,0.005559565,0.26247742
AUSTIN BOURHIS ,185,-0.199554041,0.142335281
AUSTIN CALLADINE ,180,0,0.317619078
AUSTIN CARROLL ,191,0.172903889,1.070427462
AUSTIN CONNOR ,193,0,0.533148393
AUSTIN DAAE ,183,-0.041225624,0.330994086
AUSTIN FERGUSON ,185,0,0.249557847
AUSTIN FYTEN ,185,0.244641462,1.122237459
AUSTIN GLOVER ,188,0.248997614,0.902050611
AUSTIN GRAY ,183,0,0.105924132
AUSTIN VETTERL ,180,-0.003848286,0.618632819
AUSTIN WAGNER ,190,0.667362185,1.07149084
AUSTIN WELLSBY ,191,0.354562999,0.246415027
AUSTYN PLAYFAIR ,195,0.186857551,0.302021316
AXEL BLOMQVIST ,200,-0.028372556,1.370043895
B.J. YOUNG ,178,0.021767324,2.169228395
BARRETT HEISTEN ,185,0,1.602640891
BARRY HORMAN ,185,0.063086264,0.456111617
BEAU MCCUE ,185,-0.137536272,1.007226386
BEN DUPERREAULT ,175,-0.128787837,0.443928142
BEN JOHNSON ,178,0,0.423696527
BEN KILGOUR ,182,0.155741567,1.30500186
BEN KNOPP ,184,-0.294937212,1.693086637
BEN MAXWELL ,185,0.092743028,1.624918309
BEN ONDRUS ,180,0.164449935,1.011128701
BEN THOMSON ,171,-0.049593937,1.609572649
BEN VAN LARE ,186,0,0.325005568
BEN WALKER ,180,-0.167264007,1.117446895
BERKELEY BUCHKO ,180,0.076790942,0.995807415
BERKLEY PENNOCK ,183,-0.05868344,0.52058407
BERNHARD KEIL ,184,0,0.29474541
BEVIN GUENTHER ,183,-0.040608726,0.480317735
BILL VANDERMEER ,180,0,0.370734461
BJÖRN SVENSSON ,182,0.258548639,0.882741766
BLAINE STOWARDS ,180,-0.214471034,0.871212956
BLAIR BETTS ,191,-0.092390739,1.972401256
BLAIR JONES ,188,0.296929512,1.132899116
BLAIR MACAULAY ,181,-0.127842836,0.57444632
BLAIR MANNING ,174,-0.713259993,1.723588404
BLAIR ONESCHUK ,180,0.034033861,0.284614737
BLAIR ROTA ,178,-0.410746085,0.770301746
BLAIR STENGLER ,193,-0.335049534,0.544143902
BLAIR WENTWORTH ,178,-0.068993614,0.222685734
BLAKE COMEAU ,185,0.059667637,1.372897573
BLAKE EVANS ,184,0.177194194,1.345869517
BLAKE GAL ,185,-0.01622862,0.904681441
BLAKE PENNER ,178,0.042217162,0.591209975
BLAKE ROBSON ,183,-0.078131645,1.621834449
BOB MAUDIE ,183,0.447548797,1.106794053
BOBBY ALMEIDA ,173,-0.491710161,1.505710531
BOBBY BROWN ,183,0.458673652,1.211108423
BOBBY DUNCAN ,180,0.006511445,0.420440805
BOBBY LEAVINS ,185,0.019351821,0.607885289
BOBBY RUSSELL ,186,0.432057371,1.254929785
BOBBY WILLIAMS ,180,0,0.164011559
BOBBY-CHAD MITCHELL ,188,-0.031120958,0.498520424
BORIS LECKOVIC ,186,-0.009621837,0.103672398
BORIS PROTSENKO ,182,-0.444918614,1.972311699
BOSTJAN GOLICIC ,183,0.228496426,1.006240902
BOSTON LEIER ,180,0.271741191,0.899968368
BOYD GORDON ,183,0.009898975,1.616259776
BOYD KANE ,188,0.069719219,1.853457832
BOYD OLSON ,185,-0.245429215,0.663273153
BRAD BROWN ,185,-0.343310915,0.747768189
BRAD CHURCH ,186,-0.223294453,2.240290388
BRAD COTE ,183,0.255541332,0.180372263
BRAD CRUIKSHANK ,175,0,0.453688777
BRAD ERICKSON ,175,0.107647543,0.420201838
BRAD HOBAN ,180,0.110095506,0.844431528
BRAD ISBISTER ,191,0.357011132,1.548980284
BRAD LARSEN ,183,0.033606345,2.096731766
BRAD LEEB ,180,0.250953682,1.232391434
BRAD MEHALKO ,182,0.10939288,1.330592892
BRAD MORAN ,180,-0.035829047,2.211015659
BRAD MORRISON ,183,0.062699511,1.52100374
BRAD PRIESTLAY ,178,-0.034602596,0.795149219
BRAD RIEGE ,188,0.044615682,0.422720219
BRAD ROHRIG ,180,0.030533578,0.521606961
BRAD ROSS ,184,-0.018978751,1.792140843
BRAD SCHELL ,182,0.196647935,1.347933212
BRAD SUTHERLAND ,185,0,0.60469786
BRAD TWORDIK ,178,-0.473748866,2.191383448
BRAD VOTH ,196,0.004663714,0.43143867
BRAD WILSON ,175,-0.051710345,0.773927398
BRADEN APPLEBY ,185,0.03185059,0.312330146
BRADEN CHRISTOFFER ,178,0.248988956,0.749883612
